pid,New Location
islandora:10885,https://doi.org/10.48410/7k1c-2h90
islandora:10872,https://doi.org/10.48410/7k1c-2h90
islandora:10873,https://doi.org/10.48410/7k1c-2h90
islandora:10870,https://doi.org/10.48410/7k1c-2h90
islandora:10871,https://doi.org/10.48410/7k1c-2h90
islandora:10878,https://doi.org/10.25314/7d8efc0a-3943-4738-b7a5-72badb04d765
islandora:10869,https://doi.org/10.48410/7k1c-2h90
islandora:10892,https://doi.org/10.25314/dc305c6b-72c4-40b2-aff5-51c8b6c22c55
islandora:10893,https://doi.org/10.25314/dc305c6b-72c4-40b2-aff5-51c8b6c22c55
islandora:10894,https://doi.org/10.25314/dc305c6b-72c4-40b2-aff5-51c8b6c22c55
islandora:10898,https://doi.org/10.25314/dc305c6b-72c4-40b2-aff5-51c8b6c22c55
islandora:10899,https://doi.org/10.25314/dc305c6b-72c4-40b2-aff5-51c8b6c22c55
sfu:2990,https://doi.org/10.25314/8704b24e-8377-4c5b-be08-1925c9eb9bce
islandora:10896,https://doi.org/10.25314/dc305c6b-72c4-40b2-aff5-51c8b6c22c55
islandora:10897,https://doi.org/10.25314/dc305c6b-72c4-40b2-aff5-51c8b6c22c55
islandora:10886,https://doi.org/10.25314/5089ab2f-5583-4675-8484-8446c0d9a701
islandora:10891,https://doi.org/10.25314/dc305c6b-72c4-40b2-aff5-51c8b6c22c55
islandora:10895,https://doi.org/10.25314/dc305c6b-72c4-40b2-aff5-51c8b6c22c55
sfu:2993,https://doi.org/10.25314/0645dee2-f6b7-4371-9f3a-60b31ffcd2aa
sfu:2994,https://doi.org/10.25314/0645dee2-f6b7-4371-9f3a-60b31ffcd2aa
islandora:192,https://doi.org/10.25314/c056f40f-c13d-48e5-89d8-eb761af5e042
islandora:60,https://doi.org/10.25314/4a7d6724-995a-4768-ac10-216aafd0f7cf
islandora:79,https://doi.org/10.25314/ee44e69c-77e6-446e-9936-fe268b6d03b6
sfu:32,https://doi.org/10.25314/e84c37f2-7cba-40fe-ac91-9b636c88a515
sfu:41,https://digital.lib.sfu.ca/islandora/object/pacificherring:3
sfu:43,https://digital.lib.sfu.ca/islandora/object/pacificherring:4
islandora:62,https://doi.org/10.25314/4a7d6724-995a-4768-ac10-216aafd0f7cf
islandora:61,https://doi.org/10.25314/4a7d6724-995a-4768-ac10-216aafd0f7cf
sfu:42,https://digital.lib.sfu.ca/islandora/object/pacificherring:6
sfu:44,https://digital.lib.sfu.ca/islandora/object/pacificherring:5
sfu:45,https://digital.lib.sfu.ca/islandora/object/pacificherring:13
sfu:55,https://digital.lib.sfu.ca/islandora/object/pacificherring:11
sfu:56,https://digital.lib.sfu.ca/islandora/object/pacificherring:12
sfu:51,https://digital.lib.sfu.ca/islandora/object/pacificherring:7
sfu:52,https://digital.lib.sfu.ca/islandora/object/pacificherring:16
sfu:47,https://digital.lib.sfu.ca/islandora/object/pacificherring:8
sfu:48,https://digital.lib.sfu.ca/islandora/object/pacificherring:9
sfu:57,https://digital.lib.sfu.ca/islandora/object/pacificherring:28
sfu:54,https://digital.lib.sfu.ca/islandora/object/pacificherring:10
sfu:53,https://digital.lib.sfu.ca/islandora/object/pacificherring:14
sfu:46,https://digital.lib.sfu.ca/islandora/object/pacificherring:17
sfu:50,https://digital.lib.sfu.ca/islandora/object/pacificherring:15
sfu:68,https://digital.lib.sfu.ca/islandora/object/pacificherring:19
sfu:69,https://digital.lib.sfu.ca/islandora/object/pacificherring:26
sfu:59,https://digital.lib.sfu.ca/islandora/object/pacificherring:21
sfu:60,https://digital.lib.sfu.ca/islandora/object/pacificherring:30
sfu:64,https://digital.lib.sfu.ca/islandora/object/pacificherring:22
sfu:65,https://digital.lib.sfu.ca/islandora/object/pacificherring:23
sfu:61,https://digital.lib.sfu.ca/islandora/object/pacificherring:24
sfu:62,https://digital.lib.sfu.ca/islandora/object/pacificherring:25
sfu:70,https://digital.lib.sfu.ca/islandora/object/pacificherring:35
sfu:66,https://digital.lib.sfu.ca/islandora/object/pacificherring:27
sfu:67,https://digital.lib.sfu.ca/islandora/object/pacificherring:18
sfu:58,https://digital.lib.sfu.ca/islandora/object/pacificherring:20
sfu:63,https://digital.lib.sfu.ca/islandora/object/pacificherring:29
sfu:75,https://digital.lib.sfu.ca/islandora/object/pacificherring:34
sfu:76,https://digital.lib.sfu.ca/islandora/object/pacificherring:39
sfu:78,https://digital.lib.sfu.ca/islandora/object/pacificherring:31
sfu:79,https://digital.lib.sfu.ca/islandora/object/pacificherring:32
islandora:319,https://doi.org/10.20383/102.0385
islandora:322,https://doi.org/10.20383/102.0385
islandora:324,https://doi.org/10.20383/102.0385
islandora:325,https://doi.org/10.20383/102.0385
sfu:73,https://digital.lib.sfu.ca/islandora/object/pacificherring:37
sfu:80,https://digital.lib.sfu.ca/islandora/object/pacificherring:38
sfu:77,https://digital.lib.sfu.ca/islandora/object/pacificherring:36
sfu:74,https://digital.lib.sfu.ca/islandora/object/pacificherring:33
islandora:323,https://doi.org/10.20383/102.0385
islandora:414,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:415,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:416,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:413,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:330,https://doi.org/10.20383/102.0385
islandora:328,https://doi.org/10.20383/102.0385
islandora:329,https://doi.org/10.20383/102.0385
islandora:326,https://doi.org/10.20383/102.0385
islandora:327,https://doi.org/10.20383/102.0385
islandora:420,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:422,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:421,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:419,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:417,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:418,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:425,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:424,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:432,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:426,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:430,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:428,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:431,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:429,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:433,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:427,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:443,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:434,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:442,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:441,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:440,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:438,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:439,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:437,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:436,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:2088,https://doi.org/10.25314/038d10eb-4c4a-47a6-88ba-b41929d6f578
islandora:2141,https://doi.org/10.25314/5e94d820-678e-4d3a-9a97-51fb730d5cf5
islandora:2115,https://doi.org/10.25314/26f3ec09-cf9f-4a28-9413-0d33f1eb3d96
islandora:445,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:444,https://doi.org/10.25314/90483c89-11d2-42ec-929a-b90df0b0cbaf
islandora:495,https://doi.org/10.25314/9d486105-bcf9-45d3-85d3-2f939f9f14b4
islandora:460,https://doi.org/10.25314/92edc294-6172-4846-a192-c06630c8748d
islandora:2033,https://doi.org/10.25314/367690f3-7987-4c10-82d0-72a7419632bd
sfu:88,https://doi.org/10.25314/8d3ba467-6e9a-49ff-940a-e448505e32a1
sfu:91,https://doi.org/10.25314/8d3ba467-6e9a-49ff-940a-e448505e32a1
sfu:89,https://doi.org/10.25314/8d3ba467-6e9a-49ff-940a-e448505e32a1
sfu:87,https://doi.org/10.25314/8d3ba467-6e9a-49ff-940a-e448505e32a1
sfu:90,https://doi.org/10.25314/8d3ba467-6e9a-49ff-940a-e448505e32a1
islandora:2143,https://doi.org/10.25314/5e94d820-678e-4d3a-9a97-51fb730d5cf5
islandora:2144,https://doi.org/10.25314/5e94d820-678e-4d3a-9a97-51fb730d5cf5
sfu:85,https://doi.org/10.25314/8d3ba467-6e9a-49ff-940a-e448505e32a1
islandora:2142,https://doi.org/10.25314/5e94d820-678e-4d3a-9a97-51fb730d5cf5
sfu:99,https://doi.org/10.25314/8d3ba467-6e9a-49ff-940a-e448505e32a1
sfu:94,https://doi.org/10.25314/8d3ba467-6e9a-49ff-940a-e448505e32a1
